Date,Open,High,Low,Close,Volume
26-May-15,749.00,749.38,745.45,746.65,57
22-May-15,747.25,751.73,745.56,751.73,12
21-May-15,745.45,756.63,745.45,756.63,10
20-May-15,745.45,753.35,745.45,746.00,13
19-May-15,-,-,-,758.00,0
18-May-15,747.50,758.00,745.17,758.00,22
15-May-15,743.72,749.40,743.72,747.69,28
14-May-15,750.00,750.68,743.72,750.00,11
13-May-15,750.00,752.37,750.00,752.37,15
12-May-15,750.00,753.96,750.00,750.10,6
11-May-15,750.00,752.24,744.42,749.83,43
8-May-15,748.00,748.00,742.43,746.67,2
7-May-15,738.92,746.03,738.92,743.82,5
6-May-15,740.00,745.51,738.92,744.90,19
5-May-15,742.86,750.05,738.42,749.67,44
4-May-15,738.62,745.00,738.62,745.00,6
30-Apr-15,750.00,750.00,739.45,743.35,81
29-Apr-15,750.00,754.00,750.00,750.00,64
28-Apr-15,750.00,753.99,750.00,750.00,108
27-Apr-15,738.92,754.00,738.92,754.00,78
24-Apr-15,735.00,748.32,735.00,748.32,10
23-Apr-15,735.00,740.36,735.00,736.24,75
22-Apr-15,-,-,-,740.64,0
21-Apr-15,741.02,741.23,735.00,740.64,30
20-Apr-15,735.00,741.02,735.00,736.25,60
17-Apr-15,741.20,748.54,736.00,736.00,65
16-Apr-15,740.00,749.58,740.00,742.00,32
15-Apr-15,740.00,749.62,740.00,747.40,30
14-Apr-15,743.08,749.00,740.00,749.00,41
13-Apr-15,740.89,748.90,740.89,748.90,34
10-Apr-15,746.00,751.86,740.89,751.86,7
9-Apr-15,745.00,752.39,739.45,745.00,2
8-Apr-15,-,-,-,752.92,0
7-Apr-15,740.00,755.37,738.00,752.92,13
2-Apr-15,-,-,-,737.27,0
1-Apr-15,746.80,746.80,736.89,737.27,15
31-Mar-15,743.00,752.69,743.00,750.76,7
30-Mar-15,746.80,751.59,740.50,751.50,13
27-Mar-15,747.00,749.30,741.50,749.30,21
26-Mar-15,746.15,747.19,741.12,745.00,20
25-Mar-15,755.37,763.96,746.10,755.35,32
24-Mar-15,744.70,763.00,744.70,761.03,52
23-Mar-15,745.00,751.95,744.70,751.95,7
20-Mar-15,746.80,755.06,739.00,755.06,197
19-Mar-15,747.29,752.46,746.80,752.40,23
18-Mar-15,750.00,757.00,747.00,749.50,172
17-Mar-15,764.00,764.00,750.00,752.50,24
16-Mar-15,752.00,762.00,746.40,758.90,185
13-Mar-15,733.00,753.67,733.00,753.67,149
12-Mar-15,765.00,768.00,734.28,740.00,202
11-Mar-15,746.96,767.43,746.96,750.00,123
10-Mar-15,705.45,754.32,705.00,752.56,244
9-Mar-15,677.81,729.88,677.81,716.07,364
6-Mar-15,675.00,686.00,669.98,682.90,57
5-Mar-15,658.13,678.54,658.13,678.12,97
4-Mar-15,-,-,-,660.63,0
3-Mar-15,660.10,668.00,660.10,660.63,106
2-Mar-15,660.05,667.75,660.05,665.99,103
27-Feb-15,658.00,665.00,656.05,656.05,64
26-Feb-15,650.25,662.54,650.25,657.51,89
25-Feb-15,643.00,659.00,643.00,659.00,173
24-Feb-15,648.00,649.00,643.00,649.00,115
23-Feb-15,647.00,649.48,647.00,649.48,139
20-Feb-15,645.00,649.50,641.10,649.50,54
19-Feb-15,641.10,649.76,641.10,648.54,40
18-Feb-15,647.71,649.60,641.10,649.60,127
17-Feb-15,642.00,647.73,641.50,647.73,20
16-Feb-15,645.00,647.83,642.00,647.13,48
13-Feb-15,648.00,648.00,635.24,635.24,146
12-Feb-15,640.40,649.26,640.20,647.00,30
11-Feb-15,649.50,649.50,640.40,643.80,57
10-Feb-15,640.20,647.63,640.20,646.00,12
9-Feb-15,643.00,649.42,640.00,644.18,140
6-Feb-15,640.40,648.54,640.40,644.69,82
5-Feb-15,640.20,650.00,640.20,650.00,20
4-Feb-15,-,-,-,646.48,0
3-Feb-15,640.40,646.48,640.40,646.48,6
2-Feb-15,640.40,649.94,640.40,648.03,99
30-Jan-15,640.55,649.90,640.55,649.90,86
29-Jan-15,641.19,645.80,637.72,645.35,38
28-Jan-15,651.02,651.02,644.42,646.00,96
27-Jan-15,653.00,653.00,648.14,650.74,15
26-Jan-15,659.90,659.90,650.98,650.98,88
23-Jan-15,640.20,659.01,640.20,656.56,232
22-Jan-15,638.71,645.78,638.71,645.00,9
21-Jan-15,645.16,648.98,638.71,644.21,18
20-Jan-15,654.13,654.13,645.16,646.50,15
19-Jan-15,644.22,654.90,644.22,654.46,35
