Date,Open,High,Low,Close,Volume
22-May-15,99.05,99.17,98.67,99.02,19618
21-May-15,99.82,100.32,99.68,100.32,34491
20-May-15,99.54,100.00,99.26,99.82,18357
19-May-15,99.37,99.75,99.09,99.35,37649
18-May-15,97.82,98.09,97.54,98.05,20959
15-May-15,97.69,97.90,96.87,97.90,24841
14-May-15,97.55,98.84,97.20,98.84,35230
13-May-15,96.62,97.10,95.37,95.59,51838
12-May-15,96.61,96.77,95.91,96.43,21219
11-May-15,97.96,98.27,97.51,97.97,29744
8-May-15,97.10,99.25,97.10,98.66,68525
7-May-15,95.71,96.27,95.52,96.00,25129
6-May-15,96.06,96.26,94.30,95.80,49751
5-May-15,96.58,96.59,95.29,95.45,24149
4-May-15,97.61,98.00,97.36,97.51,27472
1-May-15,96.75,97.36,96.60,97.32,38756
30-Apr-15,96.41,96.92,95.88,96.47,18526
29-Apr-15,97.66,97.75,95.66,96.05,41574
28-Apr-15,98.31,98.34,96.82,98.00,27373
27-Apr-15,97.32,97.83,97.15,97.27,60105
24-Apr-15,94.44,94.80,93.50,94.54,19875
23-Apr-15,93.27,94.10,92.74,93.91,42054
22-Apr-15,94.49,94.52,93.37,94.52,44823
21-Apr-15,94.37,94.50,93.63,93.67,17830
20-Apr-15,92.86,93.39,92.48,92.62,43686
17-Apr-15,92.37,92.52,90.95,91.79,39441
16-Apr-15,93.88,93.88,92.97,93.58,21828
15-Apr-15,93.31,93.72,92.36,93.38,38811
14-Apr-15,92.83,92.85,92.50,92.75,41651
13-Apr-15,93.85,93.88,92.51,92.67,51577
10-Apr-15,94.33,94.33,93.71,94.28,33084
9-Apr-15,92.90,93.49,92.69,93.33,66645
8-Apr-15,93.50,93.52,92.37,92.95,44941
7-Apr-15,94.26,94.82,94.11,94.21,39965
6-Apr-15,97.14,97.40,96.00,96.58,50459
2-Apr-15,95.08,95.78,94.87,95.41,40248
1-Apr-15,96.87,97.29,96.18,97.29,19370
31-Mar-15,96.05,96.85,95.69,96.60,52239
30-Mar-15,97.91,98.65,97.91,98.20,22091
27-Mar-15,95.82,97.08,95.80,97.03,19395
26-Mar-15,94.61,97.00,94.24,96.97,38164
25-Mar-15,96.63,96.94,95.75,95.80,39595
24-Mar-15,96.26,97.15,96.09,96.32,73116
23-Mar-15,97.68,97.81,96.57,96.87,94930
20-Mar-15,99.04,99.52,98.44,99.19,41366
19-Mar-15,96.06,96.50,95.55,96.04,49472
18-Mar-15,95.40,97.54,95.23,96.92,40615
17-Mar-15,98.95,99.19,97.05,97.72,42938
16-Mar-15,100.39,101.65,99.91,100.30,85584
13-Mar-15,97.05,98.30,96.67,98.15,89582
12-Mar-15,97.90,98.66,97.90,98.52,31849
11-Mar-15,95.85,97.42,95.85,97.16,51647
10-Mar-15,95.39,97.72,94.87,95.18,41485
9-Mar-15,97.38,98.04,97.37,97.92,23890
6-Mar-15,97.77,98.43,97.05,97.10,40009
5-Mar-15,98.08,98.50,97.84,98.16,34293
4-Mar-15,96.86,97.75,96.32,97.75,46963
3-Mar-15,96.83,96.90,95.73,96.08,23042
2-Mar-15,96.96,97.30,96.68,96.91,83726
27-Feb-15,95.83,96.75,95.47,96.28,141782
26-Feb-15,95.22,96.07,95.22,95.66,111841
25-Feb-15,96.62,96.77,96.10,96.32,125752
24-Feb-15,95.71,96.82,95.30,96.32,92931
23-Feb-15,96.42,96.57,95.98,96.30,34344
20-Feb-15,94.92,97.44,94.64,97.18,60661
19-Feb-15,94.87,95.88,94.62,95.30,39789
18-Feb-15,94.70,95.44,94.33,95.43,61248
17-Feb-15,94.17,94.70,93.60,94.31,54284
13-Feb-15,94.83,95.05,94.35,94.66,141278
12-Feb-15,94.33,95.13,94.31,95.13,81955
11-Feb-15,93.24,93.68,92.47,93.47,23373
