Date,Open,High,Low,Close,Volume
22-May-15,137.98,138.66,137.91,138.22,202768
21-May-15,138.78,139.55,138.78,139.44,141873
20-May-15,139.20,139.65,138.77,139.01,121013
19-May-15,139.85,140.24,139.28,139.53,223723
18-May-15,139.39,139.49,139.15,139.43,141283
15-May-15,138.65,139.39,138.65,139.37,177692
14-May-15,137.73,137.99,136.96,137.95,150463
13-May-15,137.35,137.94,136.52,136.62,359683
12-May-15,137.51,138.05,137.00,137.66,579448
11-May-15,137.88,138.36,137.42,137.45,756707
8-May-15,139.50,142.34,139.37,142.12,320408
7-May-15,136.86,138.06,136.84,137.92,208486
6-May-15,137.32,137.99,136.50,137.16,323508
5-May-15,139.46,139.80,137.45,137.55,266099
4-May-15,139.79,140.43,139.58,140.06,171953
1-May-15,138.75,139.96,138.72,139.96,247083
30-Apr-15,140.00,140.32,138.71,139.02,246848
29-Apr-15,141.33,142.47,140.07,140.79,282913
28-Apr-15,142.18,142.84,141.60,142.06,421912
27-Apr-15,140.96,141.25,140.55,140.66,272985
24-Apr-15,141.26,141.47,140.98,141.21,277455
23-Apr-15,141.16,141.28,140.62,141.03,393011
22-Apr-15,141.47,141.89,141.17,141.66,163760
21-Apr-15,141.37,141.90,141.28,141.33,365777
20-Apr-15,138.74,139.34,138.64,138.73,151608
17-Apr-15,138.99,139.03,138.00,138.43,253920
16-Apr-15,139.18,139.50,138.79,138.98,186894
15-Apr-15,139.23,139.38,138.68,139.08,177583
14-Apr-15,138.69,138.98,138.13,138.66,171630
13-Apr-15,137.67,138.00,137.20,137.56,320184
10-Apr-15,138.71,139.82,138.66,139.65,320366
9-Apr-15,139.10,140.12,139.00,139.91,276669
8-Apr-15,139.86,140.36,139.54,139.94,142139
7-Apr-15,140.10,140.64,139.65,139.72,260796
6-Apr-15,140.00,141.21,140.00,140.64,157785
2-Apr-15,139.83,140.90,139.63,140.02,249000
1-Apr-15,138.33,138.66,137.77,138.48,358920
31-Mar-15,140.88,140.94,139.71,139.89,555115
30-Mar-15,141.67,142.94,141.38,142.55,484136
27-Mar-15,142.34,142.51,141.72,142.40,238148
26-Mar-15,143.00,143.66,142.71,143.11,324381
25-Mar-15,145.25,145.25,143.78,143.81,328928
24-Mar-15,145.23,145.23,144.40,144.52,303685
23-Mar-15,145.33,145.80,144.95,145.32,481160
20-Mar-15,142.64,143.50,142.53,143.09,406865
19-Mar-15,140.14,140.59,139.65,140.10,310603
18-Mar-15,139.10,140.26,138.49,140.08,457887
17-Mar-15,137.09,137.37,136.60,136.96,816585
16-Mar-15,137.36,138.14,137.16,137.52,271010
13-Mar-15,135.86,136.38,135.46,136.17,393245
12-Mar-15,136.17,137.67,136.17,137.53,313196
11-Mar-15,134.20,134.45,133.83,134.00,222735
10-Mar-15,134.15,134.38,133.60,133.69,220935
9-Mar-15,135.50,135.65,134.94,135.39,174080
6-Mar-15,135.32,135.98,134.70,134.89,184731
5-Mar-15,134.96,135.42,134.65,134.90,232871
4-Mar-15,135.40,135.58,134.40,135.52,205548
3-Mar-15,135.37,135.84,135.07,135.40,208809
2-Mar-15,135.25,136.00,135.25,135.87,254458
27-Feb-15,135.35,135.80,135.35,135.37,219920
26-Feb-15,136.88,137.46,136.63,136.80,258041
25-Feb-15,136.80,137.14,136.39,136.87,236844
24-Feb-15,137.60,138.70,137.24,138.34,334976
23-Feb-15,136.90,137.20,136.40,136.98,199760
20-Feb-15,135.94,136.99,135.86,136.90,239833
19-Feb-15,134.50,135.49,134.38,135.28,218587
18-Feb-15,133.66,134.36,133.65,134.16,258385
17-Feb-15,132.00,132.69,132.00,132.08,365361
13-Feb-15,131.99,132.79,131.99,132.49,301012
12-Feb-15,131.39,131.99,131.20,131.82,327581
11-Feb-15,130.80,131.25,130.74,131.02,449212
10-Feb-15,129.71,131.06,129.71,130.85,229057
9-Feb-15,129.47,129.75,128.96,129.16,185983
6-Feb-15,129.77,130.49,129.37,129.57,384870
5-Feb-15,130.98,131.92,130.78,131.74,448164
4-Feb-15,132.20,134.24,132.20,132.68,471556
3-Feb-15,129.55,131.17,129.42,131.10,458084
2-Feb-15,130.10,131.13,129.71,131.09,280178
30-Jan-15,129.49,129.98,128.69,128.85,273905
29-Jan-15,131.48,132.18,130.94,132.15,411824
28-Jan-15,132.23,132.42,130.70,130.95,304090
27-Jan-15,131.13,131.73,130.88,131.10,302044
26-Jan-15,130.98,132.31,130.98,131.86,350596
23-Jan-15,130.00,130.21,129.50,129.66,292883
22-Jan-15,128.97,130.23,127.96,129.86,235477
21-Jan-15,128.36,128.82,128.01,128.66,606667
20-Jan-15,129.50,129.80,128.76,129.16,438042
16-Jan-15,128.32,129.00,128.05,128.88,441625
15-Jan-15,127.87,128.37,126.63,126.78,311433
14-Jan-15,125.42,125.98,124.63,125.82,364269
13-Jan-15,127.05,127.87,125.63,126.41,252873
12-Jan-15,126.50,127.74,125.34,126.04,306786
9-Jan-15,127.77,127.77,125.98,126.08,150308
8-Jan-15,126.45,127.70,126.45,127.58,498752
7-Jan-15,125.52,126.06,125.06,125.17,385738
6-Jan-15,123.40,123.72,121.21,122.10,285618
5-Jan-15,124.44,124.61,123.05,123.37,240551
2-Jan-15,126.23,126.64,124.89,125.67,249969
31-Dec-14,125.60,126.21,125.40,125.48,151146
30-Dec-14,125.96,126.07,125.33,125.91,169071
